year,country_iso,country,sector,obligated_usd,disbursed_usd,obligation_to_disbursement
2001,YEM,Yemen,Education,246007.15,234017.12,0.9513
2001,YEM,Yemen,Economic Development,461268.64,377832.98,0.8191
2001,YEM,Yemen,Governance,3914770.99,3896171.18,0.9952
2001,YEM,Yemen,Agriculture,1312546.03,1135931.31,0.8654
2001,YEM,Yemen,Peace and Security,720685.21,585656.7,0.8126
2001,BGD,Bangladesh,Health,156622.52,123368.17,0.7877
2001,BGD,Bangladesh,Humanitarian,2118689.62,1822351.14,0.8601
2001,BGD,Bangladesh,Governance,345295.26,207864.08,0.602
2001,BGD,Bangladesh,Agriculture,1637992.92,1523369.07,0.93
2001,BGD,Bangladesh,Peace and Security,613337.65,518796.97,0.8459
2001,IND,India,Humanitarian,575186.23,575186.23,1.0
2001,IND,India,Education,505230.91,379162.14,0.7505
2001,IND,India,Governance,967712.58,801368.66,0.8281
2001,IND,India,Agriculture,150932.59,122553.73,0.812
2001,IND,India,Peace and Security,344063.72,272749.94,0.7927
2001,IDN,Indonesia,Humanitarian,86511.92,68496.0,0.7918
2001,IDN,Indonesia,Education,1494455.95,1087258.79,0.7275
2001,IDN,Indonesia,Agriculture,376760.24,281745.4,0.7478
2001,IDN,Indonesia,Peace and Security,539105.53,377786.85,0.7008
2001,PHL,Philippines,Health,5486732.49,4329177.67,0.789
2001,PHL,Philippines,Education,779923.97,522832.06,0.6704
2001,PHL,Philippines,Economic Development,2353978.33,1674492.21,0.7113
2001,PHL,Philippines,Agriculture,728123.11,645413.4,0.8864
2001,VNM,Vietnam,Health,273222.93,179674.75,0.6576
2001,VNM,Vietnam,Humanitarian,2960935.56,2768923.17,0.9352
2001,VNM,Vietnam,Education,202059.67,153464.21,0.7595
2001,VNM,Vietnam,Economic Development,426723.64,360894.89,0.8457
2001,VNM,Vietnam,Governance,383237.57,312407.27,0.8152
2001,VNM,Vietnam,Agriculture,490624.74,431957.06,0.8804
2001,VNM,Vietnam,Peace and Security,1067433.93,882444.71,0.8267
2001,GHA,Ghana,Humanitarian,57602.42,37494.33,0.6509
2001,GHA,Ghana,Education,1217329.79,976307.4,0.802
2001,GHA,Ghana,Economic Development,352550.52,260376.68,0.7386
2001,GHA,Ghana,Governance,7249116.17,6132981.78,0.846
2001,GHA,Ghana,Peace and Security,506607.38,404670.28,0.7988
2001,TZA,Tanzania,Health,617731.1,421224.89,0.6819
2001,TZA,Tanzania,Humanitarian,1834070.18,1742678.74,0.9502
2001,TZA,Tanzania,Education,976469.36,785229.45,0.8042
2001,TZA,Tanzania,Governance,121215.77,78394.64,0.6467
2001,TZA,Tanzania,Agriculture,433687.4,366886.96,0.846
2001,MOZ,Mozambique,Health,219311.95,184450.16,0.841
2001,MOZ,Mozambique,Humanitarian,350236.66,330448.82,0.9435
2001,MOZ,Mozambique,Education,133868.14,94819.92,0.7083
2001,MOZ,Mozambique,Economic Development,921175.8,545439.84,0.5921
2001,MOZ,Mozambique,Governance,1074892.36,1054685.63,0.9812
2001,MOZ,Mozambique,Agriculture,384591.82,263378.15,0.6848
2001,MOZ,Mozambique,Peace and Security,441629.97,441629.97,1.0
2001,MWI,Malawi,Health,652402.75,404122.86,0.6194
2001,MWI,Malawi,Humanitarian,1674990.66,1121893.23,0.6698
2001,MWI,Malawi,Education,796373.43,553261.24,0.6947
2001,MWI,Malawi,Governance,510452.45,385729.89,0.7557
2001,MWI,Malawi,Peace and Security,165889.44,110359.08,0.6653
2001,PER,Peru,Health,1491518.61,949314.9,0.6365
2001,PER,Peru,Humanitarian,255902.14,179833.32,0.7027
2001,PER,Peru,Education,297778.4,297717.71,0.9998
2001,PER,Peru,Economic Development,842793.54,668104.38,0.7927
2001,PER,Peru,Governance,1062171.86,851226.75,0.8014
2001,PER,Peru,Agriculture,511761.91,352963.23,0.6897
2001,PER,Peru,Peace and Security,573634.92,536357.57,0.935
2001,GTM,Guatemala,Health,516469.06,316788.98,0.6134
2001,GTM,Guatemala,Humanitarian,155794.73,93981.12,0.6032
2001,GTM,Guatemala,Economic Development,1927120.93,1227703.93,0.6371
2001,GTM,Guatemala,Governance,229861.88,157331.35,0.6845
2001,GTM,Guatemala,Agriculture,213528.89,156605.98,0.7334
2001,GTM,Guatemala,Peace and Security,226649.07,197622.95,0.8719
2001,SLV,El Salvador,Health,84131.2,56750.14,0.6745
2001,SLV,El Salvador,Humanitarian,4594558.4,3590964.03,0.7816
2001,SLV,El Salvador,Education,521410.58,437565.36,0.8392
2001,SLV,El Salvador,Economic Development,4849807.61,3372210.95,0.6953
2001,SLV,El Salvador,Agriculture,126135.73,88113.98,0.6986
2001,MEX,Mexico,Health,1388084.01,978102.48,0.7046
2001,MEX,Mexico,Humanitarian,359325.47,354630.83,0.9869
2001,MEX,Mexico,Education,990158.97,684110.11,0.6909
2001,MEX,Mexico,Economic Development,156433.69,122917.78,0.7858
2001,MEX,Mexico,Agriculture,2659676.45,2442831.54,0.9185
2001,PSE,West Bank and Gaza,Health,61213.42,47303.36,0.7728
2001,PSE,West Bank and Gaza,Humanitarian,490576.98,396751.66,0.8087
2001,PSE,West Bank and Gaza,Education,500711.33,408259.59,0.8154
2001,PSE,West Bank and Gaza,Governance,461603.98,336067.68,0.728
2001,LBN,Lebanon,Health,505120.52,350959.49,0.6948
2001,LBN,Lebanon,Economic Development,437844.44,320821.52,0.7327
2001,LBN,Lebanon,Governance,411322.39,310198.27,0.7541
2001,LBN,Lebanon,Agriculture,537618.0,352958.68,0.6565
2001,SYR,Syria,Health,265946.58,208682.31,0.7847
2001,SYR,Syria,Humanitarian,600329.27,503146.77,0.8381
2001,SYR,Syria,Governance,175778.44,138449.42,0.7876
2001,TUR,Turkey,Health,708516.34,593160.15,0.8372
2001,TUR,Turkey,Education,1019875.25,632575.38,0.6202
2001,TUR,Turkey,Economic Development,714610.62,610281.15,0.854
2001,TUR,Turkey,Agriculture,400961.6,359440.82,0.8964
2001,GEO,Georgia,Health,94705.91,83771.78,0.8845
2001,GEO,Georgia,Education,707122.9,447664.35,0.6331
2001,GEO,Georgia,Economic Development,456186.58,235436.82,0.5161
2001,GEO,Georgia,Governance,97149.13,64548.51,0.6644
2001,GEO,Georgia,Agriculture,2334900.54,1810712.0,0.7755
2001,GEO,Georgia,Peace and Security,4033573.07,4033573.07,1.0
2001,MDA,Moldova,Health,409319.3,273709.99,0.6687
2001,MDA,Moldova,Humanitarian,881307.69,764523.58,0.8675
2001,MDA,Moldova,Education,1696405.07,1233822.28,0.7273
2001,MDA,Moldova,Agriculture,1851649.91,1606570.06,0.8676
2001,KOS,Kosovo,Health,170589.53,106322.46,0.6233
2001,KOS,Kosovo,Humanitarian,507163.45,434643.72,0.857
2001,KOS,Kosovo,Governance,200016.69,109888.81,0.5494
2001,KOS,Kosovo,Peace and Security,837475.58,626336.6,0.7479
2001,LBR,Liberia,Humanitarian,50000.0,40252.78,0.8051
2001,LBR,Liberia,Economic Development,3820300.87,3652992.63,0.9562
2001,LBR,Liberia,Agriculture,1335728.17,1008849.79,0.7553
2001,LBR,Liberia,Peace and Security,1532138.23,1532138.23,1.0
2001,SLE,Sierra Leone,Health,511109.54,431283.24,0.8438
2001,SLE,Sierra Leone,Humanitarian,521852.21,519933.4,0.9963
2001,SLE,Sierra Leone,Education,436288.18,347381.45,0.7962
2001,SLE,Sierra Leone,Economic Development,1797755.38,1148526.01,0.6389
2001,SLE,Sierra Leone,Governance,796020.61,589816.85,0.741
2001,SLE,Sierra Leone,Agriculture,1783791.95,1568446.19,0.8793
2001,SLE,Sierra Leone,Peace and Security,312774.39,295094.08,0.9435
2001,COD,DR Congo,Economic Development,683760.3,503056.22,0.7357
2001,COD,DR Congo,Governance,728760.85,516868.86,0.7092
2001,COD,DR Congo,Agriculture,360782.53,335491.66,0.9299
2001,COD,DR Congo,Peace and Security,326097.25,314797.47,0.9653
2001,RWA,Rwanda,Health,5383557.53,4455360.94,0.8276
2001,RWA,Rwanda,Humanitarian,3151778.52,2537395.47,0.8051
2001,RWA,Rwanda,Governance,208246.54,129623.53,0.6225
2001,RWA,Rwanda,Agriculture,1161524.21,846745.13,0.729
2001,RWA,Rwanda,Peace and Security,689996.97,617062.16,0.8943
2001,ZMB,Zambia,Health,958881.76,683867.54,0.7132
2001,ZMB,Zambia,Humanitarian,166362.11,159010.91,0.9558
2001,ZMB,Zambia,Education,230913.02,179584.61,0.7777
2001,ZMB,Zambia,Economic Development,1209355.05,760108.26,0.6285
2001,ZMB,Zambia,Governance,349820.93,349820.93,1.0
2001,ZMB,Zambia,Agriculture,475361.37,430411.17,0.9054
2001,ZMB,Zambia,Peace and Security,412996.54,320497.87,0.776
2001,ZWE,Zimbabwe,Health,953888.27,859033.6,0.9006
2001,ZWE,Zimbabwe,Humanitarian,4939791.11,4939791.11,1.0
2001,ZWE,Zimbabwe,Education,1186992.45,684572.61,0.5767
2001,ZWE,Zimbabwe,Economic Development,432256.8,376957.62,0.8721
2001,ZWE,Zimbabwe,Governance,364949.57,225225.78,0.6171
2001,ZWE,Zimbabwe,Agriculture,230362.35,179769.42,0.7804
2001,ZWE,Zimbabwe,Peace and Security,364831.03,198051.26,0.5429
2001,MMR,Burma,Health,723132.69,689411.51,0.9534
2001,MMR,Burma,Humanitarian,554588.73,334809.46,0.6037
2001,MMR,Burma,Education,134869.09,102470.16,0.7598
2001,MMR,Burma,Governance,801184.72,511762.51,0.6388
2001,MMR,Burma,Agriculture,476434.33,372745.19,0.7824
2001,KHM,Cambodia,Health,267174.65,165132.43,0.6181
2001,KHM,Cambodia,Education,5270149.68,5157463.93,0.9786
2001,KHM,Cambodia,Economic Development,248214.32,246509.11,0.9931
2001,KHM,Cambodia,Governance,499215.51,391910.51,0.7851
2001,KHM,Cambodia,Agriculture,327585.01,265326.21,0.8099
2001,KHM,Cambodia,Peace and Security,351613.11,351613.11,1.0
2001,NPL,Nepal,Education,1219973.99,837326.39,0.6863
2001,NPL,Nepal,Governance,736977.97,615107.23,0.8346
2001,NPL,Nepal,Agriculture,247845.62,205694.39,0.8299
2001,NPL,Nepal,Peace and Security,2999194.96,1756858.68,0.5858
2001,LKA,Sri Lanka,Health,294039.53,264525.24,0.8996
2001,LKA,Sri Lanka,Humanitarian,2688444.68,1696720.61,0.6311
2001,LKA,Sri Lanka,Education,385666.45,285441.37,0.7401
2001,LKA,Sri Lanka,Economic Development,187557.26,107052.13,0.5708
2001,LKA,Sri Lanka,Agriculture,256208.49,221514.42,0.8646
2001,LKA,Sri Lanka,Peace and Security,3351552.96,2667975.01,0.796
2001,MAR,Morocco,Health,226497.37,160739.27,0.7097
2001,MAR,Morocco,Humanitarian,891510.3,662010.7,0.7426
2001,MAR,Morocco,Education,509097.76,296659.04,0.5827
2001,MAR,Morocco,Economic Development,475375.1,410163.36,0.8628
2001,MAR,Morocco,Peace and Security,2239208.15,1950345.67,0.871
2001,TUN,Tunisia,Health,865746.1,558582.39,0.6452
2001,TUN,Tunisia,Education,686031.44,450692.95,0.657
2001,TUN,Tunisia,Economic Development,609288.38,411051.47,0.6746
2001,TUN,Tunisia,Agriculture,487416.01,357668.28,0.7338
2001,TUN,Tunisia,Peace and Security,258499.2,229081.73,0.8862
2001,SEN,Senegal,Health,516962.05,484631.6,0.9375
2001,SEN,Senegal,Humanitarian,169602.09,129619.94,0.7643
2001,SEN,Senegal,Education,1331714.24,908532.85,0.6822
2001,SEN,Senegal,Peace and Security,312710.67,177603.14,0.5679
2001,MLI,Mali,Health,336048.51,281537.3,0.8378
2001,MLI,Mali,Humanitarian,70258.46,53701.75,0.7643
2001,MLI,Mali,Education,1024018.69,830018.61,0.8106
2001,MLI,Mali,Governance,277681.95,188737.7,0.6797
2001,MLI,Mali,Agriculture,2857898.39,2418986.94,0.8464
2001,MLI,Mali,Peace and Security,311378.11,290384.35,0.9326
2002,AFG,Afghanistan,Health,450880.91,450880.91,1.0
2002,AFG,Afghanistan,Humanitarian,303657.0,245908.04,0.8098
2002,AFG,Afghanistan,Economic Development,307889.72,188133.46,0.611
2002,AFG,Afghanistan,Peace and Security,2456366.19,2107568.21,0.858
2002,EGY,Egypt,Health,152317.01,140763.49,0.9241
2002,EGY,Egypt,Education,723307.03,606477.46,0.8385
2002,EGY,Egypt,Economic Development,186044.52,150076.11,0.8067
2002,EGY,Egypt,Governance,1271364.48,975798.49,0.7675
2002,EGY,Egypt,Agriculture,392538.66,327556.45,0.8345
2002,EGY,Egypt,Peace and Security,145388.87,118850.51,0.8175
2002,ETH,Ethiopia,Health,177713.67,140583.78,0.7911
2002,ETH,Ethiopia,Humanitarian,157890.2,132930.38,0.8419
2002,ETH,Ethiopia,Education,1992349.35,1992349.35,1.0
2002,ETH,Ethiopia,Economic Development,419971.54,381680.17,0.9088
2002,ETH,Ethiopia,Governance,607690.98,607690.98,1.0
2002,ETH,Ethiopia,Peace and Security,510771.5,505165.72,0.989
2002,JOR,Jordan,Health,249303.72,212720.11,0.8533
2002,JOR,Jordan,Humanitarian,563052.54,494678.03,0.8786
2002,JOR,Jordan,Economic Development,1521225.96,1375034.88,0.9039
2002,JOR,Jordan,Governance,584593.58,552064.16,0.9444
2002,JOR,Jordan,Agriculture,239782.09,191196.01,0.7974
2002,JOR,Jordan,Peace and Security,109624.94,105570.96,0.963
2002,KEN,Kenya,Health,152381.87,147994.41,0.9712
2002,KEN,Kenya,Education,357702.52,333280.85,0.9317
2002,KEN,Kenya,Economic Development,330656.89,287260.98,0.8688
2002,KEN,Kenya,Governance,257475.42,222099.41,0.8626
2002,NGA,Nigeria,Health,583669.19,480699.69,0.8236
2002,NGA,Nigeria,Humanitarian,331095.83,315733.14,0.9536
2002,NGA,Nigeria,Education,1495331.56,1441826.61,0.9642
2002,NGA,Nigeria,Economic Development,7359622.95,5306019.64,0.721
2002,NGA,Nigeria,Governance,374794.98,374794.98,1.0
2002,NGA,Nigeria,Agriculture,57105.58,40187.26,0.7037
2002,PAK,Pakistan,Health,1260537.59,1022921.42,0.8115
2002,PAK,Pakistan,Humanitarian,1145068.08,928255.68,0.8107
2002,PAK,Pakistan,Education,50000.0,44802.76,0.8961
2002,PAK,Pakistan,Economic Development,1627376.03,1289789.68,0.7926
2002,PAK,Pakistan,Governance,830669.67,590307.07,0.7106
2002,PAK,Pakistan,Peace and Security,524020.5,460938.29,0.8796
2002,SOM,Somalia,Humanitarian,1803128.0,1482451.27,0.8222
2002,SOM,Somalia,Economic Development,1825111.6,1421812.79,0.779
2002,SSD,South Sudan,Humanitarian,340962.89,298510.7,0.8755
2002,SSD,South Sudan,Economic Development,847742.29,652353.15,0.7695
2002,SSD,South Sudan,Governance,827939.99,827939.99,1.0
2002,SSD,South Sudan,Agriculture,252302.48,195316.83,0.7741
2002,SSD,South Sudan,Peace and Security,579747.77,478834.17,0.8259
2002,SDN,Sudan,Health,67524.93,53543.77,0.7929
2002,SDN,Sudan,Humanitarian,828682.61,607319.17,0.7329
2002,SDN,Sudan,Education,419912.08,358067.72,0.8527
2002,SDN,Sudan,Agriculture,51638.01,36352.03,0.704
2002,UGA,Uganda,Health,1142941.72,749088.37,0.6554
2002,UGA,Uganda,Education,504445.61,448075.48,0.8883
2002,UGA,Uganda,Economic Development,675975.63,564387.65,0.8349
2002,UGA,Uganda,Agriculture,407182.52,374543.11,0.9198
2002,UKR,Ukraine,Health,55251.24,43339.52,0.7844
2002,UKR,Ukraine,Humanitarian,361025.54,261721.58,0.7249
2002,UKR,Ukraine,Education,110534.39,92216.01,0.8343
2002,UKR,Ukraine,Economic Development,2016323.22,1385050.54,0.6869
2002,UKR,Ukraine,Governance,339273.9,319097.26,0.9405
2002,UKR,Ukraine,Agriculture,244319.94,226281.78,0.9262
2002,UKR,Ukraine,Peace and Security,351552.08,241118.46,0.6859
2002,COL,Colombia,Health,241871.37,133594.4,0.5523
2002,COL,Colombia,Education,939861.42,939861.42,1.0
2002,COL,Colombia,Economic Development,143802.33,132917.92,0.9243
2002,COL,Colombia,Governance,229048.72,161617.78,0.7056
2002,COL,Colombia,Peace and Security,2932439.39,1558170.28,0.5314
2002,HTI,Haiti,Health,396329.04,314189.67,0.7927
2002,HTI,Haiti,Humanitarian,738344.54,586516.21,0.7944
2002,HTI,Haiti,Governance,237572.45,198587.2,0.8359
2002,HTI,Haiti,Agriculture,189358.4,140709.6,0.7431
2002,HTI,Haiti,Peace and Security,807271.01,596064.84,0.7384
2002,IRQ,Iraq,Health,7690945.58,4956849.05,0.6445
2002,IRQ,Iraq,Humanitarian,9677784.91,8846151.9,0.9141
2002,IRQ,Iraq,Education,425378.5,321184.88,0.7551
2002,IRQ,Iraq,Governance,1272691.63,982799.92,0.7722
2002,IRQ,Iraq,Agriculture,135606.86,110390.65,0.814
2002,IRQ,Iraq,Peace and Security,438948.47,414814.15,0.945
2002,YEM,Yemen,Health,965531.58,832993.94,0.8627
2002,YEM,Yemen,Humanitarian,466760.96,365503.35,0.7831
2002,YEM,Yemen,Education,155301.59,152333.26,0.9809
2002,YEM,Yemen,Economic Development,228432.16,173905.97,0.7613
2002,YEM,Yemen,Governance,649681.47,476774.49,0.7339
2002,YEM,Yemen,Agriculture,219941.12,120373.2,0.5473
2002,YEM,Yemen,Peace and Security,53648.06,43734.75,0.8152
2002,BGD,Bangladesh,Health,1138160.33,750604.51,0.6595
2002,BGD,Bangladesh,Humanitarian,4178356.59,3585954.91,0.8582
2002,BGD,Bangladesh,Economic Development,1820227.31,1820227.31,1.0
2002,BGD,Bangladesh,Governance,634331.87,547150.93,0.8626
2002,BGD,Bangladesh,Agriculture,267104.9,185091.32,0.693
2002,BGD,Bangladesh,Peace and Security,181808.11,147741.73,0.8126
2002,IND,India,Health,7977956.99,5727167.9,0.7179
2002,IND,India,Humanitarian,447329.92,390285.18,0.8725
2002,IND,India,Education,307411.95,221778.59,0.7214
2002,IND,India,Economic Development,186253.67,164717.7,0.8844
2002,IND,India,Governance,168089.34,130314.27,0.7753
2002,IND,India,Peace and Security,273100.87,215735.27,0.7899
2002,IDN,Indonesia,Economic Development,366416.91,310100.02,0.8463
2002,IDN,Indonesia,Governance,213334.97,173371.05,0.8127
2002,IDN,Indonesia,Peace and Security,62356.99,50029.73,0.8023
2002,PHL,Philippines,Humanitarian,701531.43,629194.73,0.8969
2002,PHL,Philippines,Education,305322.84,284219.03,0.9309
2002,PHL,Philippines,Economic Development,1996954.07,1970538.67,0.9868
2002,PHL,Philippines,Agriculture,1395562.89,915513.09,0.656
2002,PHL,Philippines,Peace and Security,293565.82,227732.31,0.7757
2002,VNM,Vietnam,Health,277978.68,169850.05,0.611
2002,VNM,Vietnam,Humanitarian,527778.51,489047.15,0.9266
2002,VNM,Vietnam,Governance,207880.55,180499.11,0.8683
2002,VNM,Vietnam,Agriculture,370423.62,330679.44,0.8927
2002,VNM,Vietnam,Peace and Security,426958.57,348447.3,0.8161
2002,GHA,Ghana,Health,200791.43,129514.95,0.645
2002,GHA,Ghana,Economic Development,94070.46,84516.28,0.8984
2002,GHA,Ghana,Agriculture,248354.03,193595.61,0.7795
2002,GHA,Ghana,Peace and Security,1128010.11,1084994.59,0.9619
2002,TZA,Tanzania,Health,2112144.68,2077147.65,0.9834
2002,TZA,Tanzania,Humanitarian,92916.58,74731.35,0.8043
2002,TZA,Tanzania,Education,347807.62,323235.47,0.9294
2002,TZA,Tanzania,Economic Development,186351.68,185106.08,0.9933
2002,TZA,Tanzania,Governance,695330.01,647494.85,0.9312
2002,TZA,Tanzania,Agriculture,799859.35,419990.65,0.5251
2002,TZA,Tanzania,Peace and Security,319634.68,224350.27,0.7019
2002,MOZ,Mozambique,Humanitarian,309390.21,211567.24,0.6838
2002,MOZ,Mozambique,Education,321530.2,216082.51,0.672
2002,MOZ,Mozambique,Economic Development,881636.37,648350.09,0.7354
2002,MOZ,Mozambique,Governance,308532.56,218825.45,0.7092
2002,MOZ,Mozambique,Peace and Security,260685.71,224105.01,0.8597
2002,MWI,Malawi,Health,13909723.66,10223269.08,0.735
2002,MWI,Malawi,Humanitarian,508795.66,409472.93,0.8048
2002,MWI,Malawi,Education,1510708.27,1468471.7,0.972
2002,MWI,Malawi,Economic Development,270910.6,204668.21,0.7555
2002,MWI,Malawi,Governance,1053928.17,1041034.53,0.9878
2002,MWI,Malawi,Agriculture,1828841.94,1828841.94,1.0
2002,MWI,Malawi,Peace and Security,97890.77,66417.59,0.6785
2002,PER,Peru,Health,3369682.01,2420479.55,0.7183
2002,PER,Peru,Education,3884712.34,3653071.83,0.9404
2002,PER,Peru,Economic Development,429323.07,356432.65,0.8302
2002,PER,Peru,Agriculture,520464.76,520464.76,1.0
2002,PER,Peru,Peace and Security,727421.49,517317.19,0.7112
2002,GTM,Guatemala,Health,1419526.81,1154198.48,0.8131
2002,GTM,Guatemala,Humanitarian,86828.02,82733.1,0.9528
2002,GTM,Guatemala,Education,1105456.89,930677.27,0.8419
2002,GTM,Guatemala,Economic Development,226505.9,191728.41,0.8465
2002,GTM,Guatemala,Agriculture,726759.04,472740.7,0.6505
2002,SLV,El Salvador,Health,558417.01,443176.02,0.7936
2002,SLV,El Salvador,Education,12086760.34,10951252.34,0.9061
2002,SLV,El Salvador,Economic Development,1007921.04,707357.06,0.7018
2002,SLV,El Salvador,Governance,130644.98,103826.21,0.7947
2002,SLV,El Salvador,Peace and Security,871859.46,755396.59,0.8664
2002,MEX,Mexico,Health,122666.29,101491.35,0.8274
2002,MEX,Mexico,Humanitarian,120095.98,80234.49,0.6681
2002,MEX,Mexico,Education,64185.61,42253.63,0.6583
2002,MEX,Mexico,Economic Development,666368.69,579046.47,0.869
2002,MEX,Mexico,Governance,96552.36,71298.93,0.7384
2002,MEX,Mexico,Agriculture,421135.59,328805.93,0.7808
2002,MEX,Mexico,Peace and Security,366162.65,249450.73,0.6813
2002,PSE,West Bank and Gaza,Humanitarian,767602.92,503083.66,0.6554
2002,PSE,West Bank and Gaza,Economic Development,1049533.97,779607.85,0.7428
2002,PSE,West Bank and Gaza,Agriculture,69525.99,54407.73,0.7826
2002,PSE,West Bank and Gaza,Peace and Security,279557.41,157482.56,0.5633
2002,LBN,Lebanon,Health,1283250.84,1283250.84,1.0
2002,LBN,Lebanon,Humanitarian,10911409.55,7471518.3,0.6847
2002,LBN,Lebanon,Education,2234052.55,2095456.57,0.938
2002,LBN,Lebanon,Economic Development,142111.85,127216.69,0.8952
2002,LBN,Lebanon,Agriculture,13981330.04,12652715.6,0.905
