iso3,region,income
ECU,Latin America & Caribbean ,Upper middle income
EGY,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
EMU,Aggregates,Aggregates
ERI,Sub-Saharan Africa ,Low income
ESP,Europe & Central Asia,High income
EST,Europe & Central Asia,High income
ETH,Sub-Saharan Africa ,Low income
EUU,Aggregates,Aggregates
FIN,Europe & Central Asia,High income
FJI,East Asia & Pacific,Upper middle income
FRA,Europe & Central Asia,High income
FRO,Europe & Central Asia,High income
FSM,East Asia & Pacific,Upper middle income
FXS,Aggregates,Aggregates
GAB,Sub-Saharan Africa ,Upper middle income
GBR,Europe & Central Asia,High income
GEO,Europe & Central Asia,Upper middle income
GHA,Sub-Saharan Africa ,Lower middle income
GIB,Europe & Central Asia,High income
GIN,Sub-Saharan Africa ,Lower middle income
GMB,Sub-Saharan Africa ,Low income
GNB,Sub-Saharan Africa ,Low income
GNQ,Sub-Saharan Africa ,Upper middle income
GRC,Europe & Central Asia,High income
GRD,Latin America & Caribbean ,Upper middle income
GRL,Europe & Central Asia,High income
GTM,Latin America & Caribbean ,Upper middle income
GUM,East Asia & Pacific,High income
GUY,Latin America & Caribbean ,High income
HIC,Aggregates,Aggregates
HKG,East Asia & Pacific,High income
HND,Latin America & Caribbean ,Lower middle income
HPC,Aggregates,Aggregates
HRV,Europe & Central Asia,High income
HTI,Latin America & Caribbean ,Lower middle income
HUN,Europe & Central Asia,High income
IBB,Aggregates,Aggregates
IBD,Aggregates,Aggregates
IBT,Aggregates,Aggregates
IDA,Aggregates,Aggregates
IDB,Aggregates,Aggregates
IDN,East Asia & Pacific,Upper middle income
IDX,Aggregates,Aggregates
IMN,Europe & Central Asia,High income
IND,South Asia,Lower middle income
INX,Aggregates,Aggregates
IRL,Europe & Central Asia,High income
IRN,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
IRQ,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
ISL,Europe & Central Asia,High income
ISR,"Middle East, North Africa, Afghanistan & Pakistan",High income
ITA,Europe & Central Asia,High income
JAM,Latin America & Caribbean ,Upper middle income
JOR,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
JPN,East Asia & Pacific,High income
KAZ,Europe & Central Asia,Upper middle income
KEN,Sub-Saharan Africa ,Lower middle income
KGZ,Europe & Central Asia,Lower middle income
KHM,East Asia & Pacific,Lower middle income
KIR,East Asia & Pacific,Lower middle income
KNA,Latin America & Caribbean ,High income
KOR,East Asia & Pacific,High income
KWT,"Middle East, North Africa, Afghanistan & Pakistan",High income
LAC,Aggregates,Aggregates
LAO,East Asia & Pacific,Lower middle income
LBN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
LBR,Sub-Saharan Africa ,Low income
LBY,"Middle East, North Africa, Afghanistan & Pakistan",Upper middle income
LCA,Latin America & Caribbean ,Upper middle income
LCN,Aggregates,Aggregates
LDC,Aggregates,Aggregates
LIC,Aggregates,Aggregates
LIE,Europe & Central Asia,High income
LKA,South Asia,Upper middle income
LMC,Aggregates,Aggregates
LMY,Aggregates,Aggregates
LSO,Sub-Saharan Africa ,Lower middle income
LTE,Aggregates,Aggregates
LTU,Europe & Central Asia,High income
LUX,Europe & Central Asia,High income
LVA,Europe & Central Asia,High income
MAC,East Asia & Pacific,High income
MAF,Latin America & Caribbean ,High income
MAR,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
MCO,Europe & Central Asia,High income
MDA,Europe & Central Asia,Upper middle income
MDE,Aggregates,Aggregates
MDG,Sub-Saharan Africa ,Low income
MDV,South Asia,Upper middle income
MEA,Aggregates,Aggregates
MEX,Latin America & Caribbean ,Upper middle income
MHL,East Asia & Pacific,Upper middle income
MIC,Aggregates,Aggregates
MKD,Europe & Central Asia,Upper middle income
MLI,Sub-Saharan Africa ,Low income
MLT,"Middle East, North Africa, Afghanistan & Pakistan",High income
MMR,East Asia & Pacific,Lower middle income
MNA,Aggregates,Aggregates
MNE,Europe & Central Asia,Upper middle income
MNG,East Asia & Pacific,Upper middle income
MNP,East Asia & Pacific,High income
MOZ,Sub-Saharan Africa ,Low income
MRT,Sub-Saharan Africa ,Lower middle income
MUS,Sub-Saharan Africa ,Upper middle income
MWI,Sub-Saharan Africa ,Low income
MYS,East Asia & Pacific,Upper middle income
NAC,Aggregates,Aggregates
NAF,Aggregates,Aggregates
NAM,Sub-Saharan Africa ,Lower middle income
NCL,East Asia & Pacific,High income
NER,Sub-Saharan Africa ,Low income
NGA,Sub-Saharan Africa ,Lower middle income
NIC,Latin America & Caribbean ,Lower middle income
NLD,Europe & Central Asia,High income
NOR,Europe & Central Asia,High income
NPL,South Asia,Lower middle income
NRS,Aggregates,Aggregates
NRU,East Asia & Pacific,High income
NXS,Aggregates,Aggregates
NZL,East Asia & Pacific,High income
OED,Aggregates,Aggregates
OMN,"Middle East, North Africa, Afghanistan & Pakistan",High income
OSS,Aggregates,Aggregates
PAK,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PAN,Latin America & Caribbean ,High income
PER,Latin America & Caribbean ,Upper middle income
PHL,East Asia & Pacific,Upper middle income
PLW,East Asia & Pacific,High income
PNG,East Asia & Pacific,Lower middle income
POL,Europe & Central Asia,High income
PRE,Aggregates,Aggregates
PRI,Latin America & Caribbean ,High income
PRK,East Asia & Pacific,Low income
PRT,Europe & Central Asia,High income
PRY,Latin America & Caribbean ,Upper middle income
PSE,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
PSS,Aggregates,Aggregates
PST,Aggregates,Aggregates
PYF,East Asia & Pacific,High income
QAT,"Middle East, North Africa, Afghanistan & Pakistan",High income
ROU,Europe & Central Asia,High income
RRS,Aggregates,Aggregates
RUS,Europe & Central Asia,High income
RWA,Sub-Saharan Africa ,Low income
SAS,Aggregates,Aggregates
SAU,"Middle East, North Africa, Afghanistan & Pakistan",High income
SDN,Sub-Saharan Africa ,Low income
SEN,Sub-Saharan Africa ,Lower middle income
SGP,East Asia & Pacific,High income
SLB,East Asia & Pacific,Lower middle income
SLE,Sub-Saharan Africa ,Low income
SLV,Latin America & Caribbean ,Upper middle income
SMR,Europe & Central Asia,High income
SOM,Sub-Saharan Africa ,Low income
SRB,Europe & Central Asia,Upper middle income
SSA,Aggregates,Aggregates
SSD,Sub-Saharan Africa ,Low income
SSF,Aggregates,Aggregates
SST,Aggregates,Aggregates
STP,Sub-Saharan Africa ,Lower middle income
SUR,Latin America & Caribbean ,Upper middle income
SVK,Europe & Central Asia,High income
SVN,Europe & Central Asia,High income
SWE,Europe & Central Asia,High income
SWZ,Sub-Saharan Africa ,Lower middle income
SXM,Latin America & Caribbean ,High income
SXZ,Aggregates,Aggregates
SYC,Sub-Saharan Africa ,High income
SYR,"Middle East, North Africa, Afghanistan & Pakistan",Low income
TCA,Latin America & Caribbean ,High income
TCD,Sub-Saharan Africa ,Low income
TEA,Aggregates,Aggregates
TEC,Aggregates,Aggregates
TGO,Sub-Saharan Africa ,Lower middle income
THA,East Asia & Pacific,Upper middle income
TJK,Europe & Central Asia,Lower middle income
TKM,Europe & Central Asia,Upper middle income
TLA,Aggregates,Aggregates
TLS,East Asia & Pacific,Lower middle income
TMN,Aggregates,Aggregates
TON,East Asia & Pacific,Upper middle income
TSA,Aggregates,Aggregates
TSS,Aggregates,Aggregates
TTO,Latin America & Caribbean ,High income
TUN,"Middle East, North Africa, Afghanistan & Pakistan",Lower middle income
TUR,Europe & Central Asia,Upper middle income
TUV,East Asia & Pacific,Upper middle income
TZA,Sub-Saharan Africa ,Lower middle income
UGA,Sub-Saharan Africa ,Low income
UKR,Europe & Central Asia,Upper middle income
UMC,Aggregates,Aggregates
URY,Latin America & Caribbean ,High income
USA,North America,High income
UZB,Europe & Central Asia,Lower middle income
VCT,Latin America & Caribbean ,Upper middle income
VEN,Latin America & Caribbean ,Lower middle income
VGB,Latin America & Caribbean ,High income
VIR,Latin America & Caribbean ,High income
VNM,East Asia & Pacific,Upper middle income
VUT,East Asia & Pacific,Lower middle income
WLD,Aggregates,Aggregates
WSM,East Asia & Pacific,Upper middle income
XKX,Europe & Central Asia,Upper middle income
XZN,Aggregates,Aggregates
YEM,"Middle East, North Africa, Afghanistan & Pakistan",Low income
ZAF,Sub-Saharan Africa ,Upper middle income
ZMB,Sub-Saharan Africa ,Lower middle income
ZWE,Sub-Saharan Africa ,Lower middle income
